run,data_type,model,score,method
9,real,kneighborsregressor,1090369.774399035,original
9,real,svr,1525892.6143869497,original
9,mar,xgbregressor_no_impute,993197.7213586252,original
9,mar,xgbregressor,1024027.3541986007,original
9,mar,randomforestregressor,1106972.5488446555,original
9,mar,lasso,1016499.983155876,original
9,mar,ridge,1015356.17113214,original
9,mar,kneighborsregressor,1127680.5910814877,original
9,mar,svr,1659951.9783572298,original
9,mnar,xgbregressor_no_impute,1050933.22134299,original
9,mnar,xgbregressor,1013444.930711865,original
9,mnar,randomforestregressor,1032375.2640592832,original
9,mnar,lasso,1004726.4306065596,original
9,mnar,ridge,1000985.5270500252,original
9,mnar,kneighborsregressor,1160911.2050704367,original
9,mnar,svr,1403614.562181856,original
0,real,xgbregressor_no_impute,1024328.2762363256,synthpop
0,real,xgbregressor,1013662.399282856,synthpop
0,real,randomforestregressor,1071215.0162662235,synthpop
0,real,lasso,1044249.5595722252,synthpop
0,real,ridge,1033648.82790246,synthpop
0,real,kneighborsregressor,1129264.0205140568,synthpop
0,real,svr,1603500.019044357,synthpop
0,mar,xgbregressor_no_impute,1147347.431436347,synthpop
0,mar,xgbregressor,1124697.5508909123,synthpop
0,mar,randomforestregressor,1162807.7150300452,synthpop
0,mar,lasso,1032482.5045759868,synthpop
0,mar,ridge,1043970.15652287,synthpop
0,mar,kneighborsregressor,1072094.1868335751,synthpop
0,mar,svr,1698312.37424904,synthpop
0,mnar,xgbregressor_no_impute,1114008.2386826274,synthpop
0,mnar,xgbregressor,1136182.956515626,synthpop
0,mnar,randomforestregressor,1155117.4960014443,synthpop
0,mnar,lasso,1087188.085474348,synthpop
0,mnar,ridge,1072247.2251619953,synthpop
0,mnar,kneighborsregressor,1137838.986130861,synthpop
0,mnar,svr,1782993.46401757,synthpop
1,real,xgbregressor_no_impute,1324192.7726250538,synthpop
1,real,xgbregressor,1261800.023658496,synthpop
1,real,randomforestregressor,1296227.2547216455,synthpop
1,real,lasso,1072985.4674946675,synthpop
1,real,ridge,1068134.9296828804,synthpop
1,real,kneighborsregressor,1145798.502192913,synthpop
1,real,svr,1661499.1136278927,synthpop
1,mar,xgbregressor_no_impute,1131808.6171497616,synthpop
1,mar,xgbregressor,1202965.7684987902,synthpop
1,mar,randomforestregressor,1203186.384737953,synthpop
1,mar,lasso,1137729.9071282642,synthpop
1,mar,ridge,1138170.4630497105,synthpop
1,mar,kneighborsregressor,1118384.5548174065,synthpop
1,mar,svr,1483988.6229415485,synthpop
1,mnar,xgbregressor_no_impute,1103694.098866628,synthpop
1,mnar,xgbregressor,1058180.1818993671,synthpop
1,mnar,randomforestregressor,1080885.121912934,synthpop
1,mnar,lasso,1152884.308744617,synthpop
1,mnar,ridge,1133649.246669949,synthpop
1,mnar,kneighborsregressor,1103301.863574284,synthpop
1,mnar,svr,1744902.1378905096,synthpop
2,real,xgbregressor_no_impute,1300221.8381246962,synthpop
2,real,xgbregressor,1240992.3435727153,synthpop
2,real,randomforestregressor,1277378.9295195967,synthpop
2,real,lasso,1205959.790661593,synthpop
2,real,ridge,1207796.0431169956,synthpop
2,real,kneighborsregressor,1421806.1025270887,synthpop
2,real,svr,2059430.7294615104,synthpop
2,mar,xgbregressor_no_impute,1155085.720994512,synthpop
2,mar,xgbregressor,1176448.567627923,synthpop
2,mar,randomforestregressor,1214033.6760211017,synthpop
2,mar,lasso,1197086.070504137,synthpop
2,mar,ridge,1200367.676194046,synthpop
2,mar,kneighborsregressor,1320946.205854526,synthpop
2,mar,svr,1831713.769736735,synthpop
2,mnar,xgbregressor_no_impute,1240466.544256457,synthpop
2,mnar,xgbregressor,1188078.0691535233,synthpop
2,mnar,randomforestregressor,1212367.7835067075,synthpop
2,mnar,lasso,1249691.972110776,synthpop
2,mnar,ridge,1249650.0884314196,synthpop
2,mnar,kneighborsregressor,1373685.5294551775,synthpop
2,mnar,svr,1806153.3689761455,synthpop
3,real,xgbregressor_no_impute,1295639.765932315,synthpop
3,real,xgbregressor,1267587.8068843936,synthpop
3,real,randomforestregressor,1395186.0118159817,synthpop
3,real,lasso,1186454.133945753,synthpop
3,real,ridge,1183557.0696127426,synthpop
3,real,kneighborsregressor,1313196.5198035317,synthpop
3,real,svr,1809956.2429639676,synthpop
3,mar,xgbregressor_no_impute,1330490.6965221502,synthpop
3,mar,xgbregressor,1364846.8581090723,synthpop
3,mar,randomforestregressor,1459994.4976413045,synthpop
3,mar,lasso,1273049.946355595,synthpop
3,mar,ridge,1256057.9541342126,synthpop
3,mar,kneighborsregressor,1404873.8763932984,synthpop
3,mar,svr,1791590.1156292988,synthpop
3,mnar,xgbregressor_no_impute,1378293.7681516458,synthpop
3,mnar,xgbregressor,1264496.7598902297,synthpop
3,mnar,randomforestregressor,1302270.9725625354,synthpop
3,mnar,lasso,1244470.2647903524,synthpop
3,mnar,ridge,1234887.461891387,synthpop
3,mnar,kneighborsregressor,1351457.2708296943,synthpop
3,mnar,svr,2034943.1992260327,synthpop
4,real,xgbregressor_no_impute,1126434.036240362,synthpop
4,real,xgbregressor,1131237.7064518635,synthpop
4,real,randomforestregressor,1155696.6836045757,synthpop
4,real,lasso,1117083.878629985,synthpop
4,real,ridge,1124825.586977851,synthpop
4,real,kneighborsregressor,1231515.7204524777,synthpop
4,real,svr,1781563.5757214683,synthpop
4,mar,xgbregressor_no_impute,1210756.4957266012,synthpop
4,mar,xgbregressor,1248980.0203279073,synthpop
4,mar,randomforestregressor,1193565.0367330252,synthpop
4,mar,lasso,1152414.8575031336,synthpop
4,mar,ridge,1159328.4413244657,synthpop
4,mar,kneighborsregressor,1370744.554225632,synthpop
4,mar,svr,1736980.0148199145,synthpop
4,mnar,xgbregressor_no_impute,1198459.2537260528,synthpop
4,mnar,xgbregressor,1193721.466645947,synthpop
4,mnar,randomforestregressor,1298948.9297798967,synthpop
4,mnar,lasso,1156891.8663793236,synthpop
4,mnar,ridge,1138570.389587637,synthpop
4,mnar,kneighborsregressor,1272933.3147321164,synthpop
4,mnar,svr,1874316.7020649088,synthpop
5,real,xgbregressor_no_impute,1208804.0388850726,synthpop
5,real,xgbregressor,1196706.6373228529,synthpop
5,real,randomforestregressor,1274801.1254952634,synthpop
5,real,lasso,1198683.4668065675,synthpop
5,real,ridge,1200083.563724623,synthpop
5,real,kneighborsregressor,1316799.967885145,synthpop
5,real,svr,1634469.8271927368,synthpop
5,mar,xgbregressor_no_impute,1149679.2816475534,synthpop
5,mar,xgbregressor,1171009.5974125902,synthpop
5,mar,randomforestregressor,1343778.1960495054,synthpop
5,mar,lasso,1210427.3057705332,synthpop
5,mar,ridge,1217649.1221322515,synthpop
5,mar,kneighborsregressor,1282081.0020320625,synthpop
5,mar,svr,1573301.4624034704,synthpop
5,mnar,xgbregressor_no_impute,1296030.0250924807,synthpop
5,mnar,xgbregressor,1226190.2071118543,synthpop
5,mnar,randomforestregressor,1311700.0586673017,synthpop
5,mnar,lasso,1214038.1782120997,synthpop
5,mnar,ridge,1215505.6121451424,synthpop
5,mnar,kneighborsregressor,1266563.2656700315,synthpop
5,mnar,svr,1797442.8434386435,synthpop
6,real,xgbregressor_no_impute,1324645.613145406,synthpop
6,real,xgbregressor,1319291.573189833,synthpop
6,real,randomforestregressor,1419842.8729104465,synthpop
6,real,lasso,1179333.369330721,synthpop
6,real,ridge,1185415.184017423,synthpop
6,real,kneighborsregressor,1214542.337985751,synthpop
6,real,svr,1804986.6828864557,synthpop
6,mar,xgbregressor_no_impute,1342526.0591593354,synthpop
6,mar,xgbregressor,1349429.2857459637,synthpop
6,mar,randomforestregressor,1323991.1286725826,synthpop
6,mar,lasso,1263974.239328959,synthpop
6,mar,ridge,1266590.786367663,synthpop
6,mar,kneighborsregressor,1401517.3988577272,synthpop
6,mar,svr,2091608.619268066,synthpop
6,mnar,xgbregressor_no_impute,1377636.6157363823,synthpop
6,mnar,xgbregressor,1336485.4955130464,synthpop
6,mnar,randomforestregressor,1336678.9619792555,synthpop
6,mnar,lasso,1291289.2559945004,synthpop
6,mnar,ridge,1289035.9519305248,synthpop
6,mnar,kneighborsregressor,1403461.3417167345,synthpop
6,mnar,svr,1944341.5903591395,synthpop
7,real,xgbregressor_no_impute,995982.0420208398,synthpop
7,real,xgbregressor,1056833.3356091448,synthpop
7,real,randomforestregressor,1010695.7593360812,synthpop
7,real,lasso,967231.4515526626,synthpop
7,real,ridge,952600.7714601032,synthpop
7,real,kneighborsregressor,995869.647886983,synthpop
7,real,svr,1406173.2312486514,synthpop
7,mar,xgbregressor_no_impute,1045871.2730196164,synthpop
7,mar,xgbregressor,1042841.9988830072,synthpop
7,mar,randomforestregressor,1010417.0966623608,synthpop
7,mar,lasso,985609.0433883432,synthpop
7,mar,ridge,978533.8720691864,synthpop
7,mar,kneighborsregressor,948476.2977118916,synthpop
7,mar,svr,1598328.786551522,synthpop
7,mnar,xgbregressor_no_impute,975602.953097035,synthpop
7,mnar,xgbregressor,929975.7222121384,synthpop
7,mnar,randomforestregressor,1046428.373451068,synthpop
7,mnar,lasso,986145.3481157712,synthpop
7,mnar,ridge,980694.9945190068,synthpop
7,mnar,kneighborsregressor,953908.8652942162,synthpop
7,mnar,svr,1453272.3799710723,synthpop
8,real,xgbregressor_no_impute,966522.817395773,synthpop
8,real,xgbregressor,936773.3609774596,synthpop
8,real,randomforestregressor,975278.8911977344,synthpop
8,real,lasso,885064.4633069272,synthpop
8,real,ridge,883617.2411207764,synthpop
8,real,kneighborsregressor,1102755.5673370848,synthpop
8,real,svr,1528908.2936313914,synthpop
8,mar,xgbregressor_no_impute,918009.5350596772,synthpop
8,mar,xgbregressor,960975.7124210356,synthpop
8,mar,randomforestregressor,1008102.4273758656,synthpop
8,mar,lasso,952001.2661803684,synthpop
8,mar,ridge,954453.9982661244,synthpop
8,mar,kneighborsregressor,930194.257251063,synthpop
8,mar,svr,1514809.4309263674,synthpop
8,mnar,xgbregressor_no_impute,1021681.2513604612,synthpop
8,mnar,xgbregressor,1010706.932531675,synthpop
8,mnar,randomforestregressor,1154929.453265149,synthpop
8,mnar,lasso,941791.551975096,synthpop
8,mnar,ridge,929244.844225942,synthpop
8,mnar,kneighborsregressor,971878.4116580648,synthpop
8,mnar,svr,1446425.4597353777,synthpop
9,real,xgbregressor_no_impute,1174352.8301222508,synthpop
9,real,xgbregressor,1149769.8150654656,synthpop
9,real,randomforestregressor,1154208.234409112,synthpop
9,real,lasso,1053442.75301348,synthpop
9,real,ridge,1039848.1984776048,synthpop
9,real,kneighborsregressor,1248603.959201192,synthpop
9,real,svr,1576418.1194955136,synthpop
9,mar,xgbregressor_no_impute,1062295.9854601217,synthpop
9,mar,xgbregressor,1000603.5569698806,synthpop
9,mar,randomforestregressor,1060379.0472633669,synthpop
9,mar,lasso,1022000.1380876024,synthpop
9,mar,ridge,1016802.1263662248,synthpop
9,mar,kneighborsregressor,1185702.8335631385,synthpop
9,mar,svr,1501886.622602386,synthpop
